date,temperature,above_90th,heatwave
2045-01-01,29.573114013671898,True,True
2045-02-01,30.316430664062523,True,True
2045-03-01,25.804650878906273,False,False
2045-04-01,22.236505126953148,False,False
2045-05-01,19.956567382812523,False,False
2045-06-01,17.071313476562523,False,False
2045-07-01,17.916772460937523,False,False
2045-08-01,18.971856689453148,False,False
2045-09-01,23.622583007812523,False,False
2045-10-01,25.921655273437523,False,False
2045-11-01,29.519128417968773,True,True
2045-12-01,28.908227539062523,True,True
2046-01-01,29.243005371093773,True,True
2046-02-01,28.761315917968773,True,True
2046-03-01,30.152856445312523,True,True
2046-04-01,28.304254150390648,True,True
2046-05-01,21.366784667968773,False,False
2046-06-01,16.743249511718773,False,False
2046-07-01,16.506555175781273,False,False
2046-08-01,23.523553466796898,False,False
2046-09-01,24.065942382812523,False,False
2046-10-01,27.131951904296898,False,False
2046-11-01,26.979638671875023,False,False
2046-12-01,28.406518554687523,True,False
2047-01-01,26.579888916015648,False,False
2047-02-01,28.522424316406273,True,False
2047-03-01,27.295312500000023,False,False
2047-04-01,22.270745849609398,False,False
2047-05-01,20.606469726562523,False,False
2047-06-01,18.216363525390648,False,False
2047-07-01,18.215234375000023,False,False
2047-08-01,21.636621093750023,False,False
2047-09-01,24.014978027343773,False,False
2047-10-01,26.435449218750023,False,False
2047-11-01,27.945214843750023,False,False
2047-12-01,26.711785888671898,False,False
2048-01-01,26.500512695312523,False,False
2048-02-01,27.909570312500023,False,False
2048-03-01,27.524316406250023,False,False
2048-04-01,25.707421875000023,False,False
2048-05-01,20.590203857421898,False,False
2048-06-01,17.604760742187523,False,False
2048-07-01,17.330468750000023,False,False
2048-08-01,19.960473632812523,False,False
2048-09-01,27.794702148437523,False,False
2048-10-01,26.286126708984398,False,False
2048-11-01,29.069726562500023,True,True
2048-12-01,32.02810058593752,True,True
2049-01-01,30.676721191406273,True,True
2049-02-01,29.640283203125023,True,True
2049-03-01,29.358361816406273,True,True
2049-04-01,23.505456542968773,False,False
2049-05-01,20.907312011718773,False,False
2049-06-01,15.725244140625023,False,False
2049-07-01,16.252435302734398,False,False
2049-08-01,20.588739013671898,False,False
2049-09-01,24.243127441406273,False,False
2049-10-01,27.601708984375023,False,False
2049-11-01,30.119287109375023,True,True
2049-12-01,28.394433593750023,True,True
2050-01-01,30.790155029296898,True,True
2050-02-01,30.403283691406273,True,True
2050-03-01,28.797448730468773,True,True
2050-04-01,27.047631835937523,False,False
2050-05-01,23.072839355468773,False,False
2050-06-01,18.788720703125023,False,False
2050-07-01,17.005517578125023,False,False
2050-08-01,20.335839843750023,False,False
2050-09-01,26.675378417968773,False,False
2050-10-01,28.002496337890648,False,False
2050-11-01,28.542291259765648,True,True
2050-12-01,28.925897216796898,True,True
2051-01-01,28.636743164062523,True,True
2051-02-01,27.086572265625023,False,False
2051-03-01,27.561914062500023,False,False
2051-04-01,24.592980957031273,False,False
2051-05-01,22.132958984375023,False,False
2051-06-01,19.332727050781273,False,False
2051-07-01,16.767327880859398,False,False
2051-08-01,21.072625732421898,False,False
2051-09-01,25.616235351562523,False,False
2051-10-01,29.735925292968773,True,False
2051-11-01,27.759301757812523,False,False
2051-12-01,27.154290771484398,False,False
2052-01-01,30.725732421875023,True,True
2052-02-01,31.117822265625023,True,True
2052-03-01,30.779199218750023,True,True
2052-04-01,25.195275878906273,False,False
2052-05-01,20.191247558593773,False,False
2052-06-01,18.963800048828148,False,False
2052-07-01,18.378015136718773,False,False
2052-08-01,20.993615722656273,False,False
2052-09-01,26.770288085937523,False,False
2052-10-01,28.367730712890648,True,True
2052-11-01,29.145745849609398,True,True
2052-12-01,28.230676269531273,False,False
2053-01-01,28.918603515625023,True,False
2053-02-01,28.159600830078148,False,False
2053-03-01,26.017480468750023,False,False
2053-04-01,23.573999023437523,False,False
2053-05-01,19.975366210937523,False,False
2053-06-01,16.289910888671898,False,False
2053-07-01,16.912194824218773,False,False
2053-08-01,20.586267089843773,False,False
2053-09-01,25.166101074218773,False,False
2053-10-01,27.380548095703148,False,False
2053-11-01,29.637902832031273,True,True
2053-12-01,28.679101562500023,True,True
2054-01-01,31.466973876953148,True,True
2054-02-01,29.092004394531273,True,True
2054-03-01,27.997277832031273,False,False
2054-04-01,27.066735839843773,False,False
2054-05-01,20.631250000000023,False,False
2054-06-01,17.722436523437523,False,False
2054-07-01,17.615441894531273,False,False
2054-08-01,21.610681152343773,False,False
2054-09-01,25.329125976562523,False,False
2054-10-01,29.736291503906273,True,True
2054-11-01,28.681970214843773,True,True
2054-12-01,31.430932617187523,True,True
2055-01-01,32.84645996093752,True,True
2055-02-01,31.050927734375023,True,True
2055-03-01,30.912988281250023,True,True
2055-04-01,26.257897949218773,False,False
2055-05-01,21.962243652343773,False,False
2055-06-01,19.471917724609398,False,False
2055-07-01,17.444055175781273,False,False
2055-08-01,21.121911621093773,False,False
2055-09-01,26.893151855468773,False,False
2055-10-01,28.686059570312523,True,True
2055-11-01,29.947473144531273,True,True
2055-12-01,27.730859375000023,False,False
